sample_id,gene_12808,gene_7421,gene_1510,gene_13976,gene_15898,gene_16342,gene_14503,gene_19159,gene_11566,gene_12078,gene_7965,gene_15896,gene_7964,gene_1858,gene_15895,gene_11059,gene_18135,gene_11903,gene_14114,gene_19153
sample_0,8.33332085932,10.7732875906,1.59865104788,12.2050631661,1.3342822253,2.16973262928,11.4758195443,1.59865104788,0.0,2.18589825255,0.0,0.591870870063,5.24877769365,0.0,0.0,0.591870870063,6.8783084591,0.0,0.0,1.0102785673
sample_1,7.57478272084,10.3435965862,0.323658291026,0.0,13.6092133735,1.46503412153,10.9382122671,0.323658291026,0.323658291026,0.323658291026,0.587845009254,13.5321245495,3.89082604339,0.0,10.0688320086,0.323658291026,0.0,11.3286749273,0.0,0.0
sample_2,5.75657233385,12.7099130807,0.796597754048,9.00028456607,1.07416287551,2.73872460933,11.6784460908,0.0,0.796597754048,0.0,2.22801825364,1.07416287551,1.07416287551,0.0,0.0,0.452595434703,12.9000290169,0.0,0.0,0.0
sample_3,7.65729700999,12.4938279357,0.434881719407,9.77983095863,0.434881719407,7.3698328691,11.1266528549,1.79181407116,1.26735601178,0.768586635001,1.26735601178,4.21641606164,2.65002924053,0.0,0.0,0.0,13.9073038084,0.0,0.434881719407,0.768586635001
sample_4,8.15475736272,11.7265076913,1.43594856486,0.0,1.09565441671,2.23127879134,11.5792074956,0.360982241369,1.94212034944,0.0,0.649385529182,0.360982241369,0.0,0.360982241369,0.0,0.0,0.0,0.0,0.0,0.0
sample_5,6.46909149404,11.604122302,2.40427643798,10.6407239472,0.89429393355,3.83075222999,10.5929988805,0.0,1.65388548872,2.97634530404,0.0,2.40427643798,1.19415010559,0.0,0.0,0.0,13.9712830837,0.0,0.0,0.0
sample_6,5.79159009751,8.24871034273,9.13291095156,0.0,0.0,10.0901256553,9.99899934692,9.92616699162,4.77104569825,7.30316884268,5.00935613084,0.0,11.8340838564,9.07803335877,0.0,0.531867995606,0.0,0.531867995606,0.0,3.60238561311
sample_7,6.89335007499,10.8939309608,2.07884889787,9.57096377986,0.0,3.36676981745,10.2534102384,0.0,1.95099089988,2.40585624995,0.0,0.441802154629,6.54596836911,0.0,0.0,0.0,12.3037293855,2.48462797128,0.0,0.0
sample_8,6.14383215267,10.2758102359,3.17346327682,0.0,0.352306552906,2.26909300808,12.06175595,0.635336494705,1.80306167509,0.0,0.0,0.352306552906,0.0,0.352306552906,0.0,0.0,1.55404850725,0.0,0.0,0.0
sample_9,6.87905630934,12.7490586262,1.20414071678,10.5687636825,0.724213686757,1.20414071678,10.116408946,0.0,1.20414071678,0.0,0.0,2.63598650375,8.65097273556,0.0,0.0,0.0,14.2088135152,1.20414071678,0.0,0.0
sample_10,8.52075616707,10.5841263219,0.514400039037,0.0,1.19232043503,2.37448310432,12.0614825803,0.0,3.19214681128,0.0,0.0,0.514400039037,1.65168318063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample_11,0.0,0.425781538704,11.7289451186,0.0,0.754117859552,13.2418580551,1.02140865694,12.4245337408,12.6517064974,9.44256204329,10.2836092965,0.0,11.6657134204,9.85939346057,0.0,5.59615396792,0.0,0.0,8.99753799269,11.2982573585
sample_12,7.6139883162,11.7811260764,1.12201002013,9.35647397913,0.477366480067,3.80330971,10.2872852786,0.0,2.60833615035,4.88886499018,0.0,0.0,6.80709727494,0.477366480067,0.0,0.0,12.9907811765,3.5345845842,0.0,0.0
sample_13,8.67781828408,9.92910303311,0.501821265421,0.501821265421,0.501821265421,1.96794324853,12.557025657,1.62297719091,0.0,0.501821265421,0.0,0.0,1.62297719091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sample_14,8.84662807654,11.2035437753,0.441483479583,0.0,0.0,1.48036853735,11.4792346039,0.441483479583,1.05248545347,0.779133623525,1.05248545347,0.0,1.48036853735,0.0,0.0,0.441483479583,0.0,0.0,0.0,0.441483479583
sample_15,7.91385280657,10.1481206311,0.921817139847,0.0,0.533264313072,2.32912359629,11.5073536392,0.533264313072,1.88103807567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
