sample_id,gene_16337,gene_3921,gene_3461,gene_3439,gene_6733,gene_450,gene_1510,gene_18135,gene_16259,gene_11059,gene_220,gene_7896,gene_219,gene_7116,gene_3737,gene_203,gene_7238,gene_12808,gene_11903,gene_15898,gene_15896,gene_3523,gene_7965,gene_16358,gene_19236,gene_13818,gene_9175,gene_9176,gene_19159,gene_16132,gene_7421,gene_5829,gene_12995,gene_9626,gene_12848,gene_16246,gene_12847,gene_2288,gene_7964,gene_16342,gene_15894,gene_15895,gene_8348,gene_1858,gene_13210,gene_16169,gene_16392,gene_12078,gene_14114,gene_18
sample_0,0.591870870063,0.591870870063,0.0,3.26629181758,2.71780252487,0.0,1.59865104788,6.8783084591,0.0,0.591870870063,0.591870870063,1.3342822253,0.591870870063,0.0,11.0576939501,15.6730799092,1.59865104788,8.33332085932,0.0,1.3342822253,0.591870870063,1.82203667202,0.0,14.4119147696,0.591870870063,2.47622613255,17.1735697889,18.5251613752,1.59865104788,0.0,10.7732875906,0.0,13.1866621119,13.3570570929,8.08651310808,0.0,5.97436869818,8.2468450862,5.24877769365,2.16973262928,0.0,0.0,8.72262654269,0.0,0.591870870063,3.47807873982,3.4108837772,2.18589825255,0.0,0.591870870063
sample_1,0.323658291026,0.587845009254,0.0,0.323658291026,2.59227762362,0.0,0.323658291026,0.0,0.0,0.323658291026,0.0,6.09079204687,0.0,0.323658291026,0.323658291026,9.18492987674,1.70650845057,7.57478272084,11.3286749273,13.6092133735,13.5321245495,1.3271699704,0.587845009254,6.2894305868,0.811142173669,0.0,0.0,0.0,0.323658291026,0.0,10.3435965862,0.0,0.0,0.587845009254,0.0,1.17478989305,0.0,6.89439337882,3.89082604339,1.46503412153,9.97599122753,10.0688320086,7.52639751332,0.0,0.323658291026,0.0,0.811142173669,0.323658291026,0.0,0.0
sample_2,1.68302266506,0.796597754048,1.98112198979,0.0,1.30684550031,0.0,0.796597754048,12.9000290169,0.0,0.452595434703,0.452595434703,3.18696004242,0.0,0.0,9.70927684843,13.8047360516,2.22801825364,5.75657233385,0.0,1.07416287551,1.07416287551,2.43879850476,2.22801825364,14.7898138022,0.796597754048,0.0,14.8184224017,16.0535971492,0.0,0.452595434703,12.7099130807,2.78573885352,3.00025244954,9.27076252047,5.32410132,0.0,3.90715987355,7.09387704075,1.07416287551,2.73872460933,0.0,0.0,10.0443941194,0.0,1.30684550031,0.0,1.30684550031,0.0,0.0,1.68302266506
sample_3,0.434881719407,0.0,2.38446431478,0.0,0.0,0.0,0.434881719407,13.9073038084,1.93141831808,0.0,0.434881719407,0.434881719407,1.03941918313,0.0,10.4216125387,17.4724925312,0.434881719407,7.65729700999,0.0,0.434881719407,4.21641606164,1.03941918313,1.26735601178,15.3702412628,1.26735601178,0.0,17.3710789462,18.3717936572,1.79181407116,0.0,12.4938279357,1.46409316524,14.4655855352,10.1870798409,6.95974697548,0.768586635001,4.29608291884,6.67688795867,2.65002924053,7.3698328691,0.0,0.0,9.99554104971,0.0,0.434881719407,0.768586635001,0.434881719407,0.768586635001,0.434881719407,1.26735601178
sample_4,0.88970715844,1.09565441671,1.09565441671,0.0,0.360982241369,0.360982241369,1.43594856486,0.0,0.0,0.0,0.0,0.0,0.0,1.83126923597,0.360982241369,4.05614996111,2.74103546167,8.15475736272,0.0,1.09565441671,0.360982241369,2.67834238508,0.649385529182,6.84540223205,0.0,1.09565441671,1.58009723295,0.0,0.360982241369,0.0,11.7265076913,0.0,0.360982241369,2.39618689563,0.0,1.83126923597,0.0,7.82290856209,0.0,2.23127879134,2.85877674531,0.0,10.3253841658,0.360982241369,0.360982241369,0.649385529182,1.43594856486,0.0,0.0,0.88970715844
sample_5,0.515409693386,2.62114930357,1.19415010559,0.0,0.0,0.0,2.40427643798,13.9712830837,0.0,0.0,0.515409693386,0.89429393355,0.0,0.0,10.6854233564,17.090432937,1.19415010559,6.46909149404,0.0,0.89429393355,2.40427643798,1.44228003525,0.0,14.5477259879,0.515409693386,0.0,16.0648353718,17.3980839757,0.0,0.0,11.604122302,0.0,12.2935636105,5.63663911992,2.89539957339,1.65388548872,1.44228003525,7.86862503862,1.19415010559,3.83075222999,0.0,0.0,8.25060161259,0.0,0.0,2.14893410453,3.88164504395,2.97634530404,0.0,0.89429393355
sample_6,1.47679641898,1.87774424995,3.10082630814,10.8172954804,13.366513468,0.0,9.13291095156,0.0,0.531867995606,0.531867995606,5.68310690593,8.75379504865,6.88029370151,3.173926932,0.0,4.09169137256,0.531867995606,5.79159009751,0.531867995606,0.0,0.0,2.44845169044,5.00935613084,7.55649839093,5.76817903047,7.74218815364,0.0,0.0,9.92616699162,2.04292444517,8.24871034273,0.0,0.0,0.0,0.0,10.0832399664,0.0,2.85630848972,11.8340838564,10.0901256553,6.57092432535,0.0,3.7531017302,9.07803335877,2.85630848972,5.75632680735,4.20064559028,7.30316884268,0.0,9.46687790598
sample_7,0.441802154629,0.0,0.0,2.1962608061,4.81917766554,0.0,2.07884889787,12.3037293855,0.441802154629,0.0,0.441802154629,2.1962608061,1.65526022602,0.779553903495,11.6880142124,16.4062415507,1.48104055612,6.89335007499,2.48462797128,0.0,0.441802154629,0.779553903495,0.0,14.5862182071,1.28285490932,0.0,15.7487484318,17.604560468,0.0,0.441802154629,10.8939309608,0.0,13.0323781148,9.54782959404,5.9437291419,0.0,3.31576908599,6.17593571459,6.54596836911,3.36676981745,0.441802154629,0.0,7.41339944896,0.0,0.0,2.1962608061,2.58882854778,2.40585624995,0.0,0.0
sample_8,0.0,1.25283949138,0.0,1.41131776834,1.41131776834,0.635336494705,3.17346327682,1.55404850725,0.0,0.0,0.0,1.0748479159,0.0,0.0,0.635336494705,2.64521745148,1.41131776834,6.14383215267,0.0,0.352306552906,0.352306552906,1.91314792063,0.0,6.0744626207,2.01539051939,0.0,1.68392098081,0.0,0.635336494705,0.0,10.2758102359,0.635336494705,1.0748479159,0.352306552906,1.91314792063,3.12854086864,0.871764810561,5.93791636572,0.0,2.26909300808,0.0,0.0,10.1493914818,0.352306552906,0.0,0.352306552906,0.352306552906,0.0,0.0,0.635336494705
sample_9,1.56364626948,0.724213686757,1.56364626948,0.0,1.56364626948,0.0,1.20414071678,14.2088135152,0.0,0.0,0.0,0.0,0.0,0.0,10.9942049165,13.3784032437,0.0,6.87905630934,1.20414071678,0.724213686757,2.63598650375,1.85119933859,0.0,16.0487273883,0.0,0.0,16.7805782129,17.8537846892,0.0,0.0,12.7490586262,0.0,3.74285777495,0.724213686757,6.19714984096,0.724213686757,3.34027740477,7.6381245334,8.65097273556,1.20414071678,0.0,0.0,9.01871483837,0.0,0.0,1.20414071678,1.20414071678,0.0,0.0,0.0
sample_10,0.892818427795,0.892818427795,0.892818427795,0.514400039037,1.44020807501,0.0,0.514400039037,0.0,0.0,0.0,0.0,3.25823246779,0.0,1.99956712655,0.0,3.92003599347,2.97351943969,8.52075616707,0.0,1.19232043503,0.514400039037,3.54968149087,0.0,6.47285652138,0.514400039037,0.514400039037,2.61842661665,3.12288803037,0.0,0.0,10.5841263219,0.0,0.0,0.514400039037,0.0,1.65168318063,0.0,7.74379095375,1.65168318063,2.37448310432,0.0,0.0,10.8529663871,0.0,0.0,0.0,0.0,0.0,0.0,1.65168318063
sample_11,9.89468136762,9.92658361548,12.0799947037,11.9512154931,14.090261314,10.7192690192,11.7289451186,0.0,8.77932539145,5.59615396792,12.6010302192,9.84546496038,12.6241214621,11.1138984061,0.425781538704,3.49808488421,3.58318207868,0.0,0.0,0.754117859552,0.0,0.754117859552,10.2836092965,7.16455500692,11.9657734644,8.98878976113,0.0,0.0,12.4245337408,12.6266284962,0.425781538704,4.97969155841,3.45357025539,0.0,0.425781538704,11.7697965287,0.0,0.0,11.6657134204,13.2418580551,0.425781538704,0.0,0.425781538704,9.85939346057,7.5447249294,12.2977731976,11.723242835,9.44256204329,8.99753799269,8.73235400555
