sample_id,gene_16337,gene_3921,gene_3461,gene_3439,gene_6733,gene_450,gene_1510,gene_18135,gene_16259,gene_11059,gene_220,gene_7896,gene_219,gene_7116,gene_3737,gene_203,gene_7238,gene_12808,gene_11903,gene_15898,gene_15896,gene_3523,gene_7965,gene_16358,gene_19236,gene_13818,gene_9175,gene_9176,gene_19159,gene_16132,gene_7421,gene_5829,gene_12995,gene_9626,gene_12848,gene_16246,gene_12847,gene_2288,gene_7964,gene_16342,gene_15894,gene_15895,gene_8348,gene_1858,gene_13210,gene_16169,gene_16392,gene_12078,gene_14114,gene_18,gene_18746,gene_19153,gene_14503,gene_13976,gene_16130,gene_11566,gene_2037,gene_9177,gene_16131,gene_4442,gene_5729,gene_16377,gene_6816,gene_18636,gene_3524,gene_12881,gene_12013,gene_17801,gene_8003,gene_3970,gene_10284,gene_5625,gene_12568,gene_6361,gene_14798,gene_11910,gene_12069,gene_13507,gene_5577,gene_11550,gene_2129,gene_18042,gene_7560,gene_628,gene_5576,gene_17906,gene_18632,gene_3862,gene_14190,gene_11449,gene_742,gene_9173,gene_17751,gene_11464,gene_1482,gene_6890,gene_16061,gene_17664,gene_8801,gene_15591
sample_0,0.591870870063,0.591870870063,0.0,3.26629181758,2.71780252487,0.0,1.59865104788,6.8783084591,0.0,0.591870870063,0.591870870063,1.3342822253,0.591870870063,0.0,11.0576939501,15.6730799092,1.59865104788,8.33332085932,0.0,1.3342822253,0.591870870063,1.82203667202,0.0,14.4119147696,0.591870870063,2.47622613255,17.1735697889,18.5251613752,1.59865104788,0.0,10.7732875906,0.0,13.1866621119,13.3570570929,8.08651310808,0.0,5.97436869818,8.2468450862,5.24877769365,2.16973262928,0.0,0.0,8.72262654269,0.0,0.591870870063,3.47807873982,3.4108837772,2.18589825255,0.0,0.591870870063,7.68928518087,1.0102785673,11.4758195443,12.2050631661,0.0,0.0,0.0,14.1261236647,0.0,4.37706126339,11.1907321337,1.65085644759,4.47901062142,0.0,4.85267806267,8.52228335001,3.92603738372,8.80345308573,10.390082951,9.43515767461,3.01795752966,10.3058907439,11.3838068757,7.63878342226,15.7797526935,13.7649130469,4.69212586119,11.6840516462,5.99745726474,3.34039135722,3.26629181758,0.0,1.0102785673,4.06365824801,5.93902906358,8.91679010992,0.591870870063,0.0,8.17271251903,1.0102785673,0.591870870063,5.60504090173,5.4123344238,4.63437835825,9.21152575058,0.0,7.39106310698,13.7186613002,3.87707672641,0.0
sample_1,0.323658291026,0.587845009254,0.0,0.323658291026,2.59227762362,0.0,0.323658291026,0.0,0.0,0.323658291026,0.0,6.09079204687,0.0,0.323658291026,0.323658291026,9.18492987674,1.70650845057,7.57478272084,11.3286749273,13.6092133735,13.5321245495,1.3271699704,0.587845009254,6.2894305868,0.811142173669,0.0,0.0,0.0,0.323658291026,0.0,10.3435965862,0.0,0.0,0.587845009254,0.0,1.17478989305,0.0,6.89439337882,3.89082604339,1.46503412153,9.97599122753,10.0688320086,7.52639751332,0.0,0.323658291026,0.0,0.811142173669,0.323658291026,0.0,0.0,8.29298875375,0.0,10.9382122671,0.0,0.0,0.323658291026,0.0,0.811142173669,0.0,4.38339325882,11.3325289281,2.71782445449,2.09416849472,0.0,0.323658291026,0.0,3.96240095169,5.37488298605,0.0,8.87216696222,1.46503412153,10.8893062162,0.0,0.0,10.5163106864,2.32895132391,0.0,11.1343428879,0.0,14.6448139115,0.811142173669,0.0,0.323658291026,4.1375527057,0.587845009254,9.57671674653,0.323658291026,0.0,9.46151628158,1.70650845057,1.46503412153,0.0,0.0,3.29328218927,2.76237007849,0.811142173669,9.08757422149,5.16840135239,0.323658291026,6.55557384537
sample_2,1.68302266506,0.796597754048,1.98112198979,0.0,1.30684550031,0.0,0.796597754048,12.9000290169,0.0,0.452595434703,0.452595434703,3.18696004242,0.0,0.0,9.70927684843,13.8047360516,2.22801825364,5.75657233385,0.0,1.07416287551,1.07416287551,2.43879850476,2.22801825364,14.7898138022,0.796597754048,0.0,14.8184224017,16.0535971492,0.0,0.452595434703,12.7099130807,2.78573885352,3.00025244954,9.27076252047,5.32410132,0.0,3.90715987355,7.09387704075,1.07416287551,2.73872460933,0.0,0.0,10.0443941194,0.0,1.30684550031,0.0,1.30684550031,0.0,0.0,1.68302266506,10.8334277608,0.0,11.6784460908,9.00028456607,0.0,0.796597754048,0.0,10.8090365491,0.0,2.53366301282,12.7214517,3.00489684321,4.30693296907,0.452595434703,2.43879850476,0.0,2.6226727038,1.07416287551,3.40337680669,8.06296895141,1.30684550031,11.7980748231,8.53944189284,0.0,13.766259724,14.7471335058,14.7661510005,11.3714281778,0.0,0.796597754048,6.42831159348,0.0,0.796597754048,0.452595434703,0.0,8.05299726344,0.0,0.814837498389,5.1702014915,0.0,1.30684550031,7.74635307962,5.41412876611,0.452595434703,9.85014150849,0.0,9.72192286231,15.0288082625,2.22801825364,0.0
sample_3,0.434881719407,0.0,2.38446431478,0.0,0.0,0.0,0.434881719407,13.9073038084,1.93141831808,0.0,0.434881719407,0.434881719407,1.03941918313,0.0,10.4216125387,17.4724925312,0.434881719407,7.65729700999,0.0,0.434881719407,4.21641606164,1.03941918313,1.26735601178,15.3702412628,1.26735601178,0.0,17.3710789462,18.3717936572,1.79181407116,0.0,12.4938279357,1.46409316524,14.4655855352,10.1870798409,6.95974697548,0.768586635001,4.29608291884,6.67688795867,2.65002924053,7.3698328691,0.0,0.0,9.99554104971,0.0,0.434881719407,0.768586635001,0.434881719407,0.768586635001,0.434881719407,1.26735601178,9.56280145564,0.768586635001,11.1266528549,9.77983095863,0.0,1.26735601178,0.0,13.7746738299,0.0,3.34291025546,12.6574457406,2.20786162414,1.63723926617,0.434881719407,0.434881719407,1.46409316524,3.00644165782,5.78596112261,9.14549150264,8.93763864556,2.05869746918,10.7448170228,14.4917028078,4.21641606164,16.3118547254,14.6796890113,8.65371928588,11.1660626304,0.434881719407,1.63723926617,2.56683950309,0.0,0.434881719407,0.434881719407,0.768586635001,9.60837866108,0.0,1.03941918313,7.8783084591,0.768586635001,1.03941918313,6.44023465745,4.88239850405,2.28383289719,10.5854883874,3.29200130514,9.66135947737,14.2218212079,1.03941918313,0.0
sample_4,0.88970715844,1.09565441671,1.09565441671,0.0,0.360982241369,0.360982241369,1.43594856486,0.0,0.0,0.0,0.0,0.0,0.0,1.83126923597,0.360982241369,4.05614996111,2.74103546167,8.15475736272,0.0,1.09565441671,0.360982241369,2.67834238508,0.649385529182,6.84540223205,0.0,1.09565441671,1.58009723295,0.0,0.360982241369,0.0,11.7265076913,0.0,0.360982241369,2.39618689563,0.0,1.83126923597,0.0,7.82290856209,0.0,2.23127879134,2.85877674531,0.0,10.3253841658,0.360982241369,0.360982241369,0.649385529182,1.43594856486,0.0,0.0,0.88970715844,14.4394088677,0.0,11.5792074956,0.0,0.0,1.94212034944,0.0,5.93701004745,0.0,4.7478599848,11.7683745759,1.09949720117,3.20850165289,0.649385529182,0.0,0.0,1.27584142314,1.43594856486,2.85877674531,9.52993023747,1.58009723295,9.33669176631,3.78579115521,0.360982241369,11.0082185056,7.91923876603,0.0,10.7419809392,4.26253839416,1.09565441671,4.10463020161,0.88970715844,0.360982241369,0.0,5.16854175578,9.99089814957,0.0,3.90008428083,8.12421955653,0.0,0.0,0.360982241369,0.0,0.649385529182,0.0,3.87234613918,9.46293573171,0.88970715844,0.0,0.0
sample_5,0.515409693386,2.62114930357,1.19415010559,0.0,0.0,0.0,2.40427643798,13.9712830837,0.0,0.0,0.515409693386,0.89429393355,0.0,0.0,10.6854233564,17.090432937,1.19415010559,6.46909149404,0.0,0.89429393355,2.40427643798,1.44228003525,0.0,14.5477259879,0.515409693386,0.0,16.0648353718,17.3980839757,0.0,0.0,11.604122302,0.0,12.2935636105,5.63663911992,2.89539957339,1.65388548872,1.44228003525,7.86862503862,1.19415010559,3.83075222999,0.0,0.0,8.25060161259,0.0,0.0,2.14893410453,3.88164504395,2.97634530404,0.0,0.89429393355,8.81141001783,0.0,10.5929988805,10.6407239472,0.0,1.65388548872,0.515409693386,14.5208457718,0.0,4.895675851,11.7349085697,0.89429393355,6.18397474084,0.0,2.62114930357,7.96845368478,2.89539957339,9.36837549989,10.353621028,8.73496359348,1.44228003525,10.028417206,13.7931866963,9.24108222646,15.5254412825,14.6872116321,7.60470147529,11.4481369594,3.32433538608,2.14893410453,2.00201836053,0.0,0.0,1.65388548872,4.25046897276,7.93593703118,0.0,1.44228003525,5.6911293272,1.65388548872,0.515409693386,5.0532286593,6.65268151804,3.38489251462,9.87260255135,0.0,8.57686221349,13.9961733374,2.71848218821,0.0
sample_6,1.47679641898,1.87774424995,3.10082630814,10.8172954804,13.366513468,0.0,9.13291095156,0.0,0.531867995606,0.531867995606,5.68310690593,8.75379504865,6.88029370151,3.173926932,0.0,4.09169137256,0.531867995606,5.79159009751,0.531867995606,0.0,0.0,2.44845169044,5.00935613084,7.55649839093,5.76817903047,7.74218815364,0.0,0.0,9.92616699162,2.04292444517,8.24871034273,0.0,0.0,0.0,0.0,10.0832399664,0.0,2.85630848972,11.8340838564,10.0901256553,6.57092432535,0.0,3.7531017302,9.07803335877,2.85630848972,5.75632680735,4.20064559028,7.30316884268,0.0,9.46687790598,7.93060725264,3.60238561311,9.99899934692,0.0,0.0,4.77104569825,0.0,0.0,0.531867995606,9.47141509944,8.33489895072,3.24348629552,9.07922342168,2.56171715708,0.0,0.0,1.87774424995,9.61366793048,5.24807936809,8.22095867501,4.88426577964,3.70458428186,7.32338808462,2.56171715708,11.2328465973,5.16087582914,2.19115201793,7.46481527327,10.6420246083,5.92460825578,9.24421872577,0.0,0.919683313397,5.64505313,9.32666766944,5.24807936809,0.531867995606,5.76096073687,5.36193675757,0.0,0.0,0.0,0.531867995606,5.52447119461,0.531867995606,6.35218470806,4.72314349487,3.30984556376,10.977072378,0.919683313397
sample_7,0.441802154629,0.0,0.0,2.1962608061,4.81917766554,0.0,2.07884889787,12.3037293855,0.441802154629,0.0,0.441802154629,2.1962608061,1.65526022602,0.779553903495,11.6880142124,16.4062415507,1.48104055612,6.89335007499,2.48462797128,0.0,0.441802154629,0.779553903495,0.0,14.5862182071,1.28285490932,0.0,15.7487484318,17.604560468,0.0,0.441802154629,10.8939309608,0.0,13.0323781148,9.54782959404,5.9437291419,0.0,3.31576908599,6.17593571459,6.54596836911,3.36676981745,0.441802154629,0.0,7.41339944896,0.0,0.0,2.1962608061,2.58882854778,2.40585624995,0.0,0.0,9.77412320129,0.0,10.2534102384,9.57096377986,0.0,1.95099089988,0.0,14.1379117215,0.0,4.74401035836,9.79580265633,1.28285490932,4.42107515024,0.0,5.29783336841,11.0665466891,1.65526022602,11.152848879,8.62877723984,6.99004721957,0.441802154629,9.24270014938,8.93050672443,7.38585377464,13.0587274314,13.1894755772,6.93619033969,9.80680897768,4.76317252198,2.50024117919,1.65526022602,0.0,1.95099089988,0.0,6.09506782922,7.62719825013,0.0,0.0,5.64634413494,1.48104055612,0.0,4.09788885941,3.75918779862,4.18571592643,8.49476760041,1.28285490932,7.67856492952,13.7717267354,0.779553903495,0.0
sample_8,0.0,1.25283949138,0.0,1.41131776834,1.41131776834,0.635336494705,3.17346327682,1.55404850725,0.0,0.0,0.0,1.0748479159,0.0,0.0,0.635336494705,2.64521745148,1.41131776834,6.14383215267,0.0,0.352306552906,0.352306552906,1.91314792063,0.0,6.0744626207,2.01539051939,0.0,1.68392098081,0.0,0.635336494705,0.0,10.2758102359,0.635336494705,1.0748479159,0.352306552906,1.91314792063,3.12854086864,0.871764810561,5.93791636572,0.0,2.26909300808,0.0,0.0,10.1493914818,0.352306552906,0.0,0.352306552906,0.352306552906,0.0,0.0,0.635336494705,13.4493034327,0.0,12.06175595,0.0,0.0,1.80306167509,0.0,5.38072598581,0.352306552906,5.7053061459,12.0362320062,1.58096551272,4.86867688923,1.55404850725,0.0,0.0,0.352306552906,0.0,1.68392098081,9.36494006259,1.55404850725,10.9323993224,1.68392098081,0.0,10.000338092,7.20295637866,0.0,9.10934488694,3.94340565138,2.01539051939,0.635336494705,0.0,1.55404850725,0.0,5.2918355905,9.97001958524,1.0748479159,0.352306552906,5.79429108733,1.55404850725,0.352306552906,0.0,0.0,4.26733353692,1.68392098081,1.41131776834,9.45810102073,1.0748479159,0.871764810561,0.635336494705
sample_9,1.56364626948,0.724213686757,1.56364626948,0.0,1.56364626948,0.0,1.20414071678,14.2088135152,0.0,0.0,0.0,0.0,0.0,0.0,10.9942049165,13.3784032437,0.0,6.87905630934,1.20414071678,0.724213686757,2.63598650375,1.85119933859,0.0,16.0487273883,0.0,0.0,16.7805782129,17.8537846892,0.0,0.0,12.7490586262,0.0,3.74285777495,0.724213686757,6.19714984096,0.724213686757,3.34027740477,7.6381245334,8.65097273556,1.20414071678,0.0,0.0,9.01871483837,0.0,0.0,1.20414071678,1.20414071678,0.0,0.0,0.0,8.52895413234,0.0,10.116408946,10.5687636825,0.0,1.20414071678,0.0,12.7130878917,0.0,4.16606463952,11.7293233376,1.56364626948,3.67082900814,0.0,5.32624250892,3.93959331799,1.56364626948,8.16604756197,11.0369153793,8.51616489451,1.56364626948,10.9140935736,5.64096212809,7.04495141661,14.8433469595,15.0636942073,15.9886846868,10.9223539693,2.77989003934,1.20414071678,0.0,0.0,1.20414071678,2.47612241988,3.93959331799,9.47507677425,0.0,1.56364626948,5.94569431097,0.0,0.724213686757,6.44399777036,6.65471478392,1.20414071678,10.2575646327,0.0,9.36953845957,14.5187883713,0.0,0.0
